Estados Unidos;9833517.000000;331000000;26850.000000;33.000000;81000.000000;80000000
China;9596961.000000;1400000000;19370.000000;145.000000;13800.000000;67000000
Japão;377975.000000;125000000;4900.000000;332.000000;39200.000000;31000000
Brasil;8515767.000000;214000000;1610.000000;25.000000;7800.000000;6600000
França;643801.000000;68000000;2940.000000;118.000000;43200.000000;89000000
Reino Unido;242495.000000;67000000;3330.000000;276.000000;49700.000000;39000000
Alemanha;357022.000000;83000000;4850.000000;232.000000;58400.000000;39000000
Índia;3287263.000000;1400000000;3730.000000;416.000000;2600.000000;11000000
Rússia;17098242.000000;144000000;1780.000000;8.000000;12300.000000;24000000
Austrália;76920224.000000;26000000;1700.000000;3.000000;67400.000000;9400000
